dataset_id,premise,positive_hypothesis,negative_hypothesis,correct_polarity
194567,"Kyle MacLachlan. MacLachlan získal Zlatý glóbus za nejlepší mužský herecký výkon v dramatickém televizním seriálu a byl nominován na dvě ceny Emmy, všechny za seriál Twin Peaks.",Kyle Maclachlan je schopen být za cokoli nominován.,Kyle Maclachlan není schopen být za cokoli nominován.,P
7401,"Poustevníci jsou tropičtí a subtropičtí kolibříci z podčeledi Phaethornithinae, která zahrnuje 30-40 druhů v šesti rodech. Pagurapseudidae je čeleď korýšů z řádu Tanaidacea.",Krabi poustevníci jsou desetinožci.,Krabi poustevníci nejsou desetinožci.,P
189715,"Kung-fu film je subžánr filmů o bojových uměních a hongkongské akční kinematografie zasazený do současného období a představující realistická bojová umění. Film o bojových uměních je filmový žánr. Jedná se o podžánr akčního filmu, filmy o bojových uměních obsahují četné souboje mezi postavami v bojových uměních. Filmy o bojových uměních běžně obsahují i další druhy akce, jako jsou boje zblízka, kaskadérské kousky, honičky a přestřelky.",Podžánrem akčních filmů jsou filmy o bojových uměních.,Podžánrem akčních filmů nejsou filmy o bojových uměních.,P
187552,"Matthew Allard de Vere Drummond (narozen jako Matthew Allard Robert Vaughn; 7. března 1971) je anglický filmový producent, režisér a scenárista. Robert Francis Vaughn (22. listopadu 1932 - 11. listopadu 2016) byl americký herec známý svou divadelní, filmovou a televizní tvorbou. Robert Vaughn (narozen jako Robert Vaughan; 5. června 1836 - 23. března 1918) byl velšský přistěhovalec do Spojených států a významný rančer, farmář a podnikatel v americkém státě Montana před a po prvních letech jeho státnosti.",Matthew Vaughn se narodil jako Matthew Allard Robert Vaughn.,Matthew Vaughn se nenarodil jako Matthew Allard Robert Vaughn.,P
209356,"Alexandria ([ˌælɪɡˈzændriə] nebo [ˌælɪɡˈzɑːndriə] arabsky: الإسكندرية; اسكندرية; Ⲁⲗⲉⲝⲁⲛⲇⲣⲓⲁ, Ⲣⲁⲕⲟⲧⲉ) je druhé největší město a hlavní hospodářské centrum Egypta, rozkládající se asi 32 km podél pobřeží Středozemního moře v severní centrální části země. Alexandrie je největším egyptským námořním přístavem, který obsluhuje přibližně 80 % egyptského dovozu a vývozu. Od konce 18. století se Alexandrie stala významným centrem mezinárodní lodní dopravy a jedním z nejdůležitějších obchodních středisek na světě, a to jednak proto, že těžila ze snadného pozemního spojení mezi Středozemním a Rudým mořem, jednak z výnosného obchodu s egyptskou bavlnou.",Příkladem námořního přístavu je Alexandrie.,Příkladem námořního přístavu není Alexandrie.,P
179091,"Dobrý Němec. Film režíroval Steven Soderbergh a v hlavních rolích se představili George Clooney, Cate Blanchett a Tobey Maguire.",Film Dobrý Němec natočila Cate Blanchett.,Film Dobrý Němec nenatočila Cate Blanchett.,N
207334,"Vojenské maskování. Vojenská kamufláž jako taková je formou vojenského klamání. Vojenské klamání. Toho se obvykle dosahuje vytvořením nebo zesílením umělé válečné mlhy prostřednictvím psychologických operací, informační války, vizuálního klamu a dalších metod. Jako forma strategického využití informací (dezinformace) se překrývá s psychologickou válkou.",Vojenské klamání je forma strategického využití informací používaná armádou.,Vojenské klamání není forma strategického využití informací používaná armádou.,P
195201,"Kevin Bacon. Bacon je známý také tím, že se zhostil temnějších rolí, například sadistického dozorce ve filmu Spáči a problémového bývalého násilníka na dětech v kritikou oceňovaném snímku Lesní muž. Spáči. Ve filmu si zahráli Kevin Bacon, Jason Patric, Brad Pitt, Robert De Niro, Dustin Hoffman, Minnie Driver a Vittorio Gassmann.",Kevin Bacon si zahrál ve filmu Spáči.,Kevin Bacon si nezahrál ve filmu Spáči.,P
159331,"Weill Cornell Medicine [waɪl_kɔrˈnɛl] je biomedicínská výzkumná jednotka a lékařská škola Cornellovy univerzity, soukromé univerzity Ivy League.",Weill Cornell Medicine je jednotka.,Weill Cornell Medicine není jednotka.,P
147344,Amancio Ortega Gaona ([aˈmanθjo orˈteɣa ɣaˈona]; narozen 28. března 1936) je španělský obchodní magnát.,Druhé jméno Amancia Ortegy je Gaona.,Druhé jméno Amancia Ortegy není Gaona.,N
84675,"Dobrý den pro smrtonosnou past je americký akční thriller z roku 2013 a pátý díl filmové série Smrtonosná past. Film režíroval John Moore, scénář napsal Skip Woods a v hlavní roli Johna McClanea se představil Bruce Willis.",Dobrý den pro smrtonosnou past byl dokumentární film o smrti Bruce Willise.,Dobrý den pro smrtonosnou past nebyl dokumentární film o smrti Bruce Willise.,N
181250,"Sean Gunn je americký herec, známý především rolí Kirka Gleasona v televizním seriálu Gilmorova děvčata (2000-2007) a Kraglina ve Strážcích Galaxie.",Sean Gunn je známý především díky roli Thomase Edisona.,Sean Gunn není známý především díky roli Thomase Edisona.,N
153101,B. R. Ambedkar. V roce 1990 bylo Ambedkarovi posmrtně uděleno nejvyšší indické civilní ocenění Bharat Ratna.,B. R. Ambedkar získal nějaké ocenění.,B. R. Ambedkar nezískal žádné ocenění.,P
33196,"Ned Stark. Ned, představený v seriálu Hra o trůny z roku 1996, je čestným pánem Zimohradu, starobylé pevnosti na severu fiktivního kontinentu Západozemí.",Ned Stark je čestným pánem Zimohradu.,Ned Stark není čestným pánem Zimohradu.,P
39173,"Korn. Úspěch kapely v hlavním proudu pokračoval s alby Untouchables (2002), Take a Look in the Mirror (2003) a See You on the Other Side (2005). Podepsali smlouvu s Virgin Records, v roce 2005 vydali See You on the Other Side a v roce 2007 album bez názvu. See You on the Other Side je sedmé studiové album skupiny Korn. Bylo vydáno 6. prosince 2005 u Virgin Records.",See You on the Other Side vydala skupina Korn.,See You on the Other Side nevydala skupina Korn.,P
143686,"Národní bojiště Fort Donelson. Dobytí pevnosti Donelson a její posádky Unií vedlo k obsazení hlavního města a průmyslového centra Tennessee, Nashvillu, které zůstalo v rukou Unie od 25. února 1862 až do konce války, a poskytlo Unii faktickou kontrolu nad velkou částí Tennessee. Tennessee. Tennessee bylo přijato do Unie jako 16. stát 1. června 1796. Tennessee bylo posledním státem, který po vypuknutí americké občanské války v roce 1861 opustil Unii a připojil se ke Konfederaci. Od roku 1862 bylo okupováno vojsky Unie a na konci války bylo prvním státem, který byl znovu přijat do Unie. Tennessee poskytlo armádě Konfederace více vojáků než kterýkoli jiný stát kromě Virginie a více vojáků pro armádu Unie než zbytek Konfederace dohromady.",Tennessee zůstalo v Unii.,Tennessee nezůstalo v Unii.,N
54701,"Shannon Emery Lee (narozena 19. dubna 1969) je americká herečka, bojová umělkyně a podnikatelka.",Shannon Lee hraje.,Shannon Lee nehraje.,P
154984,"Kareem Abdul-Jabbar. V době svého odchodu do důchodu v roce 1989 byl Abdul-Jabbar historickým lídrem NBA v počtu nastřílených bodů (38 387), odehraných zápasů (1 560), odehraných minut (57 446), vstřelených branek (15 837), pokusů o střelu (28 307), zblokovaných střel (3 189), obranných doskoků (9 394), vítězství v kariéře (1 074) a osobních chyb (4 657). Je na 3. místě v historické tabulce v počtu doskoků i bloků.",Kareem Abdul-Jabbar je na 3. místě v počtu doskoků všech dob.,Kareem Abdul-Jabbar není na 3. místě v počtu doskoků všech dob.,P
160857,No Strings Attached (film). Film byl uveden do kin ve Spojených státech 21. ledna 2011.,Film No Strings Attached byl ve Spojených státech zakázán k uvedení do kin.,Film No Strings Attached nebyl ve Spojených státech zakázán k uvedení do kin.,N
101118,"Sabbir Khan. V roce 2009 debutoval jako režisér filmem Kambakkht Ishq (2009), ve kterém si zahráli Akshay Kumar a Kareena Kapoor. Sabbirův druhý film Heropanti s Tigerem Shroffem a Kriti Sanon v hlavních rolích měl premiéru 23. května 2014.","Sabbir Khan režíroval film, v němž hrála indická herečka.","Sabbir Khan nerežíroval film, v němž hrála indická herečka.",P
7297,"Město literatury. Jejím cílem je ""podporovat sociální, ekonomický a kulturní rozvoj měst ve vyspělém i rozvojovém světě"".","Cílem programu UNESCO Město literatury je ""podporovat sociální, hospodářský a kulturní rozvoj měst v rozvinutém i rozvojovém světě"".","Cílem programu UNESCO Město literatury není ""podporovat sociální, hospodářský a kulturní rozvoj měst v rozvinutém i rozvojovém světě"".",P
119493,"Paul Joseph Goebbels ([ˈpʰaʊ̯l ˈjoːzəf ˈɡœbəls]; 29. října 1897 - 1. května 1945) byl německý politik a říšský ministr propagandy nacistického Německa v letech 1933-1945. Po převzetí moci nacisty v roce 1933 Goebbelsovo ministerstvo propagandy rychle získalo a vykonávalo kontrolní dohled nad zpravodajskými médii, uměním a informacemi v Německu.","Joseph Goebbels se svým ministerstvem propagandy kontroloval zpravodajská média, umění a informace v Německu.","Joseph Goebbels se svým ministerstvem propagandy nekontroloval zpravodajská média, umění a informace v Německu.",P
168073,Jean-Jacques Dessalines ([ʒɑ̃ ʒak dɛs.salin]; 20. září 1758 - 17. října 1806) byl vůdce haitské revoluce a první vládce nezávislého Haiti podle ústavy z roku 1805.,Jean-Jacques Dessalines byl prvním vládcem nezávislého Hati.,Jean-Jacques Dessalines nebyl prvním vládcem nezávislého Hati.,P
177858,"Milk je americký životopisný film z roku 2008 natočený na motivy života aktivisty za práva homosexuálů a politika Harveyho Milka, který byl jako první otevřeně homosexuální osoba zvolen do veřejné funkce v Kalifornii, a to jako člen dozorčí rady v San Francisku. V režii Guse Van Santa a scénáři Dustina Lance Blacka se v hlavních rolích představili Sean Penn jako Milk a Josh Brolin jako Dan White, městský dozorce, který na Milka a starostu George Mosconeho spáchal atentát.",Milk je životopisný film se Seanem Pennem v hlavní roli.,Milk není životopisný film se Seanem Pennem v hlavní roli.,P
174510,"Red Bull Racing je závodní tým Formule 1, který závodí pod rakouskou licencí a sídlí ve Spojeném království. Tým Red Bull Racing. Tým sídlil v Mooresville v Severní Karolíně ve Spojených státech a řídil jej Jay Frye.",Tým Red Bull Racing sídlí ve Spojeném království.,Tým Red Bull Racing nesídlí ve Spojeném království.,P
171904,"Věnuje se výzkumu. Za účelem ověření platnosti nástrojů, postupů nebo experimentů může výzkum opakovat prvky předchozích projektů nebo projektu jako celku. Hlavním účelem základního výzkumu (na rozdíl od aplikovaného výzkumu) je dokumentace, objevování, interpretace nebo výzkum a vývoj (VaV) metod a systémů pro rozvoj lidského poznání.",K testování platnosti postupů se používá výzkum.,K testování platnosti postupů se nepoužívá výzkum.,P
83241,"Africký pohár národů, oficiálně CAN (Coupe d'Afrique des Nations), označovaný také jako Africký pohár národů nebo AFCON, je hlavní mezinárodní fotbalová soutěž v Africe. Je schvalován Africkou fotbalovou konfederací (CAF) a poprvé se konal v roce 1957.","Africký pohár národů je mistrovství Afriky ve fotbale, založené v roce 1984.","Africký pohár národů není mistrovství Afriky ve fotbale, založené v roce 1984.",N
56038,"Crash je britsko-kanadský psychologický thriller z roku 1996, který napsal a režíroval David Cronenberg podle stejnojmenného románu J. G. Ballarda z roku 1973. Ve filmu hrají James Spader, Deborah Kara Unger, Elias Koteas, Holly Hunter a Rosanna Arquette. James Spader. Nejvíce se proslavil ztvárněním excentrických postav ve filmech, jako je drama Sex, lži a videokazety (1989), akční sci-fi Hvězdná brána (1994), kontroverzní psychologický thriller Crash (1996), erotická romance Sekretářka (2002) a superhrdinský trhák Avengers: (2015). V současné době hraje hlavní roli vysoce postaveného kriminálníka Raymonda ""Red"" Reddingtona, který se stal informátorem FBI, v kriminálním seriálu stanice NBC Černá listina, za kterou si vysloužil dvě nominace na Zlatý glóbus.",James Spader odmítl hrát v jakémkoli kontroverzním psychologickém thrilleru.,James Spader odmítl hrát v jakémkoli kontroverzním psychologickém thrilleru.,N
128045,"Christopher Wesson Bosh (narozen 24. března 1984) je americký profesionální basketbalista hrající za tým Miami Heat v Národní basketbalové asociaci (NBA). Během působení v Torontu se Bosh stal jednou z mladých hvězd ligy; stal se pětkrát členem All-Star NBA, jednou byl jmenován do druhého týmu All-NBA, objevil se v reprezentaci USA (s níž získal zlatou medaili na Letních olympijských hrách 2008) a nahradil bývalého oblíbence fanoušků Vince Cartera v roli tváře a lídra klubu Raptors. Americká profesionální basketbalová liga (Professional Basketball League of America, 1947-1948) byla basketbalová liga ve Spojených státech amerických, která vznikla v roce 1947 jako reakce na obrovský nárůst zájmu o basketbal v době bezprostředně po druhé světové válce. Premier basketbalová liga SSSR nebo Premier basketbalová liga Sovětského svazu (také nazývaná Nejvyšší liga) byla prvoligovou profesionální basketbalovou ligou mužů v bývalém Sovětském svazu.",Chris Bosh hraje profesionální basketbalovou ligu v Americe.,Chris Bosh nehraje profesionální basketbalovou ligu v Americe.,P
97752,"George Harrison. Harrisonovo první manželství, s modelkou Pattie Boydovou v roce 1966, skončilo rozvodem v roce 1977.",V roce 1966 se George Harrison poprvé oženil.,V roce 1966 se George Harrison poprvé neoženil.,P
71091,"John Goodman. Mezi jeho další filmové role patří hlavní role ve filmech The Babe (1992), The Flintstones (1994) a 10 Cloverfield Lane (2016) a vedlejší role ve filmech Coyote Ugly (2000), The Artist (2011), Extremely Loud and Incredibly Close (2011), Argo (2012), Flight (2012), The Hangover Part III (2013) a Patriots Day (2016).",John Goodman hrál Babe Rutha ve filmu The Babe.,John Goodman nehrál Babe Rutha ve filmu The Babe.,P
84260,Velká země. Snímek byl natočen podle seriálového časopiseckého románu Přepadení v kaňonu Blanco od Donalda Hamiltona.,Základem filmu The Big Country byl serializovaný časopisecký román.,Základem filmu The Big Country nebyl serializovaný časopisecký román.,P
57638,"Bitva u Trebie. Bitva se odehrála v rovinaté krajině provincie Piacenza na levém břehu řeky Trebbia, mělkém opleteném toku, nedaleko jižně od jejího soutoku (z jihu) s řekou Pád.",Bitva u Trebbie se odehrála jižně od soutoku Trebbie s řekou Seinou.,Bitva u Trebbie se neodehrála jižně od soutoku Trebbie s řekou Seinou.,N
110585,"Golf je sport s holí a míčkem, při kterém hráči používají různé hole, aby co nejmenším počtem úderů odpálili míčky do řady jamek na hřišti. Hra se hraje na hřišti s uspořádaným postupem 18 jamek. Každá jamka na hřišti musí obsahovat odpaliště, ze kterého se začíná, a putting green, na kterém je skutečná jamka nebo pohár (o šířce 4,25 palce). Mezi nimi se nachází další standardní formy terénu, jako je fairway, rough (dlouhá tráva), písečné pasti a nebezpečí (voda, kameny, kostřava), ale každá jamka na hřišti je jedinečná svým specifickým uspořádáním a uspořádáním.",Golf se hraje na hřišti.,Golf se nehraje na hřišti.,P
94159,Jack Dylan Grazer (narozen 3. září 2003) je americký dětský herec a narodil se v Los Angeles v Kalifornii rodičům Angele Lafeverové a Gavinu Grazerovi.,Jack Dylan Grazer se narodil v měsíci září.,Jack Dylan Grazer se nenarodil v měsíci září.,P
13868,"Áres ([ˈɛəriːz] Ἄρης [árɛːs]) je řecký bůh války. Je jedním z dvanácti olympských bohů a synem Dia a Héry. Áres (někdy také označovaný jako Mars nebo Válka) je fiktivní postava, superpadouch, který se objevuje v publikacích DC Comics a souvisejících médiích.",Áres je olympionik.,Áres není olympionik.,P
142972,"Hora Hood. Je nejvyšším bodem v Oregonu a čtvrtým nejvyšším v Kaskádovém pohoří. Mount Hood, známá také jako Hood Mountain, je hora poblíž jihovýchodního okraje města Santa Rosa v Kalifornii na severovýchodě údolí Sonoma Valley a dosahuje výšky 2733 m. Původní název byl Mount Wilikos, indiánské jméno znamenající ""vrby"".",Mount Hood je nejvyšším bodem svého okresu.,Mount Hood není nejvyšším bodem svého okresu.,P
163821,William Blackstone. Blackstone se narodil ve středostavovské rodině v Londýně a před maturitou na Pembroke College v Oxfordu v roce 1738 získal vzdělání na Charterhouse School.,Rodištěm Williama Blackstona je Londýn.,Rodištěm Williama Blackstona není Londýn.,P
40443,"Anneliese Louise van der Pol (narozena 23. září 1984) je nizozemská a americká herečka, zpěvačka, modelka a tanečnice. Po začátcích kariéry v hudebním divadle se proslavila především rolí Chelsea Danielsové v seriálu That's So Raven. V roce 2007 debutovala na Broadwayi a v roce 2009 se objevila na off-broadwayi. Zahrála si také v roce 2010 v parodii na upíry Vampires Suck režisérů Jasona Friedberga a Aarona Seltzera.",Anneliese van der Pol je herečka.,Anneliese van der Pol není herečka.,P
46810,"Jeden tanec. Skladba ""One Dance"" se dostala na první místo v 15 zemích, včetně Austrálie, Kanady, Francie, Německa, Irska, Nizozemska, Nového Zélandu, Švýcarska, Spojeného království a Spojených států, a stala se tak prvním singlem Drakea na prvním místě ve všech 15 zemích jako hlavní interpret.",V Nizozemsku byl singl One Dance vždy zakázán.,V Nizozemsku nebyl singl One Dance vždy zakázán.,N
195202,"Kevin Bacon. Mezi jeho významné filmy patří hudebně-dramatický snímek Footloose (1984), kontroverzní historický konspirační právnický thriller JFK (1991), právnické drama Pár správných chlapů (1992), historické dokudrama Apollo 13 (1995) a mysteriózní drama Mystic River (2003). Bacon je známý také temnějšími rolemi, například sadistického bachaře ve filmu Spáči nebo problémového bývalého násilníka na dětech v kritikou oceňovaném snímku Lesní muž.",Kevin Bacon zatím ve filmu hrál.,Kevin Bacon zatím ve filmu nehrál.,P
7265,"SpongeBob SquarePants je americký animovaný televizní seriál, který pro společnost Nickelodeon vytvořil mořský biolog a animátor Stephen Hillenburg. SpongeBob SquarePants je titulní postava a hlavní hrdina stejnojmenného amerického animovaného televizního seriálu. Jeho hlas namluvil herec a komik Tom Kenny a poprvé se objevil v televizi v pilotním díle seriálu 1. května 1999. SpongeBob SquarePants je americký animovaný/živě hraný komediální filmový seriál podle stejnojmenného animovaného televizního programu společnosti Nickelodeon, který vytvořil Stephen Hillenburg.",SpongeBob SquarePants je dokumentární seriál.,SpongeBob SquarePants není dokumentární seriál.,N
79079,"Právnická fakulta Chicagské univerzity. Právnická fakulta Chicagské univerzity se umístila na třetím místě v zemi v žebříčku Above The Law Rankings 2015, který hodnotí právnické fakulty na základě výsledků v oblasti zaměstnání, jako je kvalita pracovních míst, federální úřednická místa a spokojenost absolventů. Brian Leiter z University of Chicago Law School zařadil Chicagskou univerzitu na druhé místo v žebříčku ""15 nejlepších škol, ze kterých nejvíc ´prestižních´ právnických firem najímá nové právníky"", a na první místo za ""kvalitu fakulty na základě členství v Americké akademii umění a věd"".","Právnická fakulta Chicagské univerzity se umístila na třetím místě v kategorii ""Kvalita fakulty na základě členství v Americké akademii věd a umění"".","Právnická fakulta Chicagské univerzity se neumístila na třetím místě v kategorii ""Kvalita fakulty na základě členství v Americké akademii věd a umění"".",N
222647,"A United Kingdom je britský životopisný romantický film z roku 2016, který natočila režisérka Amma Asante a napsal Guy Hibbert na základě skutečné romance mezi sirem Seretse Khamou a jeho ženou Ruth Williams Khama. Spojené království Velké Británie a Severního Irska, běžně známé jako Spojené království (UK) nebo Británie, je suverénní stát v západní Evropě.",Spojené království je dramatický film z roku 2016.,Spojené království není dramatický film z roku 2016.,P
50517,"See You on the Other Side (album skupiny Korn). Album je známé především díky účasti renomovaného producentského týmu `The Matrix`, známého především koprodukcí na dílech Avril Lavigne, Britney Spears a Shakiry, který dokázal dát hudbě Korn jiný zvuk.",See You on the Other Side mělo s produkčním týmem The Matrix nic společného.,See You on the Other Side nemělo s produkčním týmem The Matrix nic společného.,P
75922,"Absint ([ˈæbsɪnθ] nebo [ˈæbsænθ] francouzsky: [apsɛ̃t]) je historicky popisován jako destilovaný, vysoce alkoholický (45 - 74 % ABV / 90 - 148 U.S. proof) nápoj. Absint byl často líčen jako nebezpečně návyková psychoaktivní droga a halucinogen. Nedávné studie ukázaly, že psychoaktivní vlastnosti absintu (kromě alkoholu) byly přehnané. Odkaz absintu jako tajemného, návykového a mysl ovlivňujícího nápoje přetrvává dodnes.",Absint má psychoaktivní účinky.,Absint nemá psychoaktivní účinky.,P
21719,"Antigua a Barbuda. Skládá se ze dvou hlavních obydlených ostrovů, Antiguy a Barbudy, a řady menších ostrovů (včetně ostrovů Great Bird, Green, Guinea, Long, Maiden a York a jižněji ostrova Redonda). Jméno zemi dal Kryštof Kolumbus v roce 1493 po objevení ostrova na počest Panny Marie z Antiguy v sevillské katedrále.",Antigua a Barbuda byla pojmenována na počest Panny Marie La Antigua.,Antigua a Barbuda nebyla pojmenována na počest Panny Marie La Antigua.,P
33197,"Ned Stark. Ned, představený v seriálu Hra o trůny z roku 1996, je čestným pánem Zimohradu, starobylé pevnosti na severu fiktivního kontinentu Západozemí.",Ned Stark je čestným pánem Zimohradu.,Ned Stark není čestným pánem Zimohradu.,N
76585,Samsung. Společnost Samsung vstoupila do elektronického průmyslu koncem 60. let a do stavebnictví a stavby lodí v polovině 70. let; tyto oblasti budou hnací silou jejího následného růstu.,Samsung vstoupil do loďařského průmyslu.,Samsung nevstoupil do loďařského průmyslu.,P
59532,"Fyzika (z [φυσική, phusikḗ (epistḗmē), poznání přírody], od φύσις phúsis ""příroda"") je přírodní věda, která zahrnuje studium hmoty a jejího pohybu a chování v prostoru a čase, spolu se souvisejícími pojmy, jako je energie a síla. Je to jedna z nejzákladnějších vědních disciplín, jejímž hlavním cílem je pochopit, jak se chová vesmír. Fyzika je jednou z nejstarších akademických disciplín, možná nejstarší díky tomu, že je její součástí astronomie.",Fyzika je vědní obor.,Fyzika není vědní obor.,P
53214,"Pocahontas. Pocahontas byla dcerou Powhatana, nejvyššího náčelníka sítě přítokových kmenových národů v Tsenacommacah, zahrnující oblast Tidewater ve Virginii. Pocahontas (postava). Pocahontas je jako dcera indiánského vrchního náčelníka Powhatanského paramountství první americkou Disneyho princeznou.",Pocahontas byla dcerou vrchního náčelníka Powhatana.,Pocahontas nebyla dcerou vrchního náčelníka Powhatana.,P
132243,"Louis Marie Malle ([mal]; 30. října 1932 - 23. listopadu 1995) byl francouzský filmový režisér, scenárista a producent. Malle působil ve francouzské kinematografii i v Hollywoodu a produkoval filmy ve francouzském i anglickém jazyce.",Louis Malle produkoval filmy v ruském jazyce.,Louis Malle neprodukoval filmy v ruském jazyce.,N
138910,"Jugoslávie (Југославија, Jugoslavija, Југославија) byla po většinu 20. století země v jihovýchodní Evropě. Vznikla po první světové válce v roce 1918 pod názvem Království Srbů, Chorvatů a Slovinců sloučením Prozatímního státu Slovinců, Chorvatů a Srbů (sám vznikl z území bývalého Rakouska-Uherska) s dříve nezávislým Srbským královstvím. Jugoslávie byla přejmenována na Svazovou lidovou republiku Jugoslávii v roce 1946, kdy byla ustavena komunistická vláda. V roce 1963 byla země opět přejmenována na Socialistickou federativní republiku Jugoslávii (SFRJ). Po hospodářské a politické krizi v 80. letech 20. století a vzestupu nacionalismu se Jugoslávie rozpadla podél hranic svých republik, nejprve na pět zemí, což vedlo k jugoslávským válkám.",Jugoslávie existovala.,Jugoslávie neexistovala.,P
67340,"Christopher Wesson Bosh (narozen 24. března 1984) je americký profesionální basketbalista hrající za tým Miami Heat v Národní basketbalové asociaci (NBA). V roce 2010 odešel z Toronta do týmu Heat jako jeho historický lídr v počtu bodů, doskoků, bloků, dvojchyb, proměněných a zkusených trestných hodů a odehraných minut. Bosh získal svůj první titul v NBA poté, co Miami ve finále NBA 2012 porazilo Oklahoma City Thunder 4:1 na zápasy.",Chris Bosh hrál v Miami s fotbalovým týmem.,Chris Bosh nehrál v Miami s fotbalovým týmem.,N
88459,"Mamutí studia je obecný název používaný pro fiktivní filmová studia ve filmech, televizi, knihách a komiksech. Seriál The Beverly Hillbillies. Seriál The Beverly Hillbillies se v osmi z devíti sezón umístil mezi dvaceti nejsledovanějšími pořady v televizi, dvakrát se umístil na prvním místě mezi seriály roku a řada jeho epizod dodnes patří mezi nejsledovanější televizní epizody v historii.",Seriál The Beverly Hillbillies se umístil v první dvacítce nejsledovanějších pořadů v televizi.,Seriál The Beverly Hillbillies se neumístil v první dvacítce nejsledovanějších pořadů v televizi.,P
12178,"Alžběta Woodvillová. asi 1437 - 8. června 1492) byla anglická královna v manželství s králem Eduardem IV. od roku 1464 do jeho smrti v roce 1483. Alžběta z Yorku. Jako manželka Jindřicha VII. byla první tudorovskou královnou. Byla dcerou Eduarda IV. a neteří Richarda III. a za krále se provdala po Jindřichově vítězství v bitvě u Bosworthu, která zahájila poslední fázi válek růží.",Alžběta z Yorku se provdala za krále.,Alžběta z Yorku se neprovdala za krále.,P
88082,"Henry Condell. Bylo zde pokřtěno devět dětí narozených v letech 1599 až 1614, z nichž se dospělosti dožily pouze tři: Elizabeth (pokřtěna 26. října 1606), která se provdala za Herberta Finche, Henry (pokřtěn 6. května 1610, zemřel 1630) a William (pokřtěn 26. května 1611). Jeho vdova Elizabeth zde byla pohřbena 3. října 1635.",Henry Condell měl nula vdov.,Henry Condell neměl nula vdov.,N
188131,"Princ Valiant je irsko-britský nezávislý film s mečem a kouzly z roku 1997, který režíroval Anthony Hickox, scénář napsal Michael Frost Beckner a v hlavních rolích se představili Stephen Moyer, Katherine Heigl, Thomas Kretschmann, Joanna Lumley, Ron Perlman a Edward Fox. Jedná se o volnou adaptaci dlouholetého komiksu Prince Valiant Hala Fostera, jehož některé panely byly ve filmu použity. Stephen Moyer. V roce 1997 Moyer debutoval na velkém plátně a získal hlavní roli ve filmové adaptaci dlouholetého komiksu Prince Valiant od Hala Fostera po boku Rona Perlmana a Katherine Heigl.",Stephen Moyer hrál ve filmové adaptaci komiksu.,Stephen Moyer nehrál ve filmové adaptaci komiksu.,P
168923,Boeing 767. V 90. letech 20. století se letoun 767 stal nejčastěji používaným dopravním letadlem pro transatlantické lety mezi Severní Amerikou a Evropou.,Boeing 767 se používá pro transatlantické lety.,Boeing 767 se nepoužívá pro transatlantické lety.,P
12319,"Adam Lambert. Později téhož roku vydal své debutové album For Your Entertainment, které debutovalo na třetím místě amerického žebříčku Billboard 200. V roce 2012 se jeho album dostalo na první místo v žebříčku. Album mělo premiéru na prvním místě amerického žebříčku Billboard 200, čímž se stal prvním otevřeně homosexuálním umělcem, který se dostal na vrchol albového žebříčku. V roce 2015 vydal Lambert své třetí album The Original High, které debutovalo na třetím místě amerického žebříčku Billboard 200. V roce 2015 se mu podařilo získat první místo v hitparádě.",Album Adama Lamberta mělo premiéru na prvním místě amerického žebříčku Billboard 200.,Album Adama Lamberta nemělo premiéru na prvním místě amerického žebříčku Billboard 200.,P
89608,"Maximum Overdrive je americká akční sci-fi hororová komedie z roku 1986, kterou napsal a režíroval Stephen King.",Maximum Overdrive je pouze romantický film z roku 1980.,Maximum Overdrive není pouze romantický film z roku 1980.,N
177529,"Brick Mansions je anglicky mluvený francouzsko-kanadský kriminální thriller z roku 2014 s Paulem Walkerem, Davidem Bellem a RZA v hlavních rolích. Jedná se o remake francouzského filmu District 13 z roku 2004, v němž Belle rovněž hrál.",Ve filmu Brick Mansions hrál Belle.,Ve filmu Brick Mansions nehrál Belle.,P
73630,"Pochody ze Selmy do Montgomery. Pochody byly organizovány nenásilnými aktivisty s cílem demonstrovat touhu afroamerických občanů uplatnit své ústavní právo volit, a to navzdory segregačním represím, a byly součástí širšího hnutí za volební práva probíhajícího v Selmě a na celém americkém Jihu. Protestující požadovali ochranu účastníků pochodu v Selmě a nový federální zákon o volebních právech, který by umožnil Afroameričanům registrovat se a volit bez obtěžování.",Pochody ze Selmy do Montgomery byly neúspěšnou demonstrací touhy afroamerických občanů uplatnit své ústavní volební právo.,Pochody ze Selmy do Montgomery nebyly neúspěšnou demonstrací touhy afroamerických občanů uplatnit své ústavní volební právo.,N
